trip_id,start_time,end_time,headway_secs,exact_times
"9.TA.93-219-0-j26-1.2.R","10:05:00","12:15:00","600","0"
"10.TA.93-219-0-j26-1.2.R","10:05:00","12:15:00","600","0"
"1.TA.93-242-7-j26-1.1.H","08:45:00","17:05:00","600","0"
"2.TA.93-242-7-j26-1.1.H","08:15:00","17:05:00","600","0"
"3.TA.93-242-7-j26-1.2.R","08:25:00","17:05:00","600","0"
"4.TA.93-242-7-j26-1.2.R","08:55:00","17:05:00","600","0"
"1.TA.93-239-7-j26-1.1.H","08:30:00","17:00:00","600","0"
"2.TA.93-239-7-j26-1.2.R","08:30:00","17:00:00","600","0"
"1.TA.93-230-6-j26-1.1.H","09:15:00","16:15:00","60","0"
"2.TA.93-230-6-j26-1.1.H","09:15:00","16:30:00","60","0"
"3.TA.93-230-6-j26-1.1.H","09:00:00","16:30:00","60","0"
"4.TA.93-230-6-j26-1.1.H","09:00:00","16:30:00","60","0"
"5.TA.93-230-6-j26-1.2.R","09:15:00","16:30:00","60","0"
"6.TA.93-230-6-j26-1.2.R","09:15:00","16:15:00","60","0"
"7.TA.93-230-6-j26-1.2.R","09:00:00","16:30:00","60","0"
"8.TA.93-230-6-j26-1.2.R","09:00:00","16:30:00","60","0"
"1.TA.93-279-4-j26-1.1.H","08:00:00","16:40:00","60","0"
"2.TA.93-279-4-j26-1.1.H","08:15:00","16:45:00","60","0"
"3.TA.93-279-4-j26-1.1.H","08:15:00","16:45:00","60","0"
"4.TA.93-279-4-j26-1.2.R","08:15:00","16:45:00","60","0"
"5.TA.93-279-4-j26-1.2.R","08:00:00","16:40:00","60","0"
"6.TA.93-279-4-j26-1.2.R","08:15:00","16:45:00","60","0"
"1.TA.93-279-2-j26-1.1.H","08:00:00","16:15:00","60","0"
"2.TA.93-279-2-j26-1.1.H","08:15:00","16:45:00","60","0"
"3.TA.93-279-2-j26-1.1.H","08:00:00","16:30:00","60","0"
"4.TA.93-279-2-j26-1.2.R","08:00:00","16:30:00","60","0"
"5.TA.93-279-2-j26-1.2.R","08:00:00","16:15:00","60","0"
"6.TA.93-279-2-j26-1.2.R","08:15:00","16:45:00","60","0"
"1.TA.93-E-j26-1.1.H","09:00:00","16:30:00","60","0"
